school,postal,lat,lon,address
Admiralty Secondary School,737916,1.44589068910994,103.80239819659599,31 WOODLANDS CRESCENT ADMIRALTY SECONDARY SCHOOL SINGAPORE 737916
Ahmad Ibrahim Secondary School,768928,1.43623514612257,103.82998645046999,751 YISHUN AVENUE 7 AHMAD IBRAHIM SECONDARY SCHOOL SINGAPORE 768928
Anderson Secondary School,569206,1.37424218886594,103.851429953072,10 ANG MO KIO STREET 53 ANDERSON SECONDARY SCHOOL SINGAPORE 569206
Ang Mo Kio Secondary School,569362,1.3673590038501102,103.842600374475,6 ANG MO KIO STREET 22 ANG MO KIO SECONDARY SCHOOL SINGAPORE 569362
Anglican High School,487012,1.33035182064433,103.941634876861,600 UPPER CHANGI ROAD ANGLICAN HIGH SCHOOL SINGAPORE 487012
Anglo-Chinese School,139650,1.3024447875931398,103.78024981995199,121 DOVER ROAD ANGLO-CHINESE SCHOOL (INDEPENDENT) SINGAPORE 139650
Assumption English School,678117,1.36853405374098,103.76667501132401,622 UPPER BUKIT TIMAH ROAD ASSUMPTION ENGLISH SCHOOL SINGAPORE 678117
Bartley Secondary School,538403,1.3400174201764299,103.882455029785,10 JALAN BUNGA RAMPAI BARTLEY SECONDARY SCHOOL SINGAPORE 538403
Beatty Secondary School,318990,1.34179051106272,103.852064858056,1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990
Bedok Green Secondary School,469722,1.3338266806576102,103.935513154683,360 BEDOK NORTH AVENUE 3 BEDOK GREEN SECONDARY SCHOOL SINGAPORE 469722
Bedok South Secondary School,468585,1.32565341744898,103.95062123769199,1 JALAN LANGGAR BEDOK BEDOK SOUTH SECONDARY SCHOOL SINGAPORE 468585
Bedok View Secondary School,469293,1.3239993964861498,103.94347522507299,6 BEDOK SOUTH AVENUE 3 BEDOK VIEW SECONDARY SCHOOL SINGAPORE 469293
Bendemeer Secondary School,327919,1.32461111308,103.86097028358499,1 SAINT WILFRED ROAD BENDEMEER SECONDARY SCHOOL SINGAPORE 327919
Boon Lay Secondary School,648354,1.34322372271824,103.701702919853,11 JURONG WEST STREET 65 BOON LAY SECONDARY SCHOOL SINGAPORE 648354
Bowen Secondary School,547529,1.3707510733202801,103.87745903968,2 LORONG NAPIRI BOWEN SECONDARY SCHOOL SINGAPORE 547529
Broadrick Secondary School,399935,1.3075053803199,103.886675419311,61 DAKOTA CRESCENT BROADRICK SECONDARY SCHOOL SINGAPORE 399935
Bukit Batok Secondary School,658962,1.34835121539209,103.740873402493,50 BUKIT BATOK WEST AVENUE 8 BUKIT BATOK SECONDARY SCHOOL SINGAPORE 658962
Bukit Merah Secondary School,159050,1.28575153716323,103.81320835637199,10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050
Bukit Panjang Government High School,689809,1.3821367218646698,103.738134418559,7 CHOA CHU KANG AVENUE 4 BUKIT PANJANG GOVERNMENT HIGH SCHOOL SINGAPORE 689809
Bukit View Secondary School,659633,1.34572315130522,103.75227776553899,16 BUKIT BATOK STREET 21 BUKIT VIEW SECONDARY SCHOOL SINGAPORE 659633
Canberra Secondary School,757699,1.4532797110912201,103.814470689411,51 SEMBAWANG DRIVE CANBERRA SECONDARY SCHOOL SINGAPORE 757699
Catholic High School,579767,1.3547888765266898,103.8449341135,9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767
Cedar Girls' Secondary School,349692,1.3345273649016,103.873791000408,1 CEDAR AVENUE CEDAR GIRLS' SECONDARY SCHOOL SINGAPORE 349692
Changkat Changi Secondary School,529894,1.34036113973244,103.952725093811,23 SIMEI STREET 3 CHANGKAT CHANGI SECONDARY SCHOOL SINGAPORE 529894
Chij Katong Convent,449150,1.30659722378099,103.917754219162,346 MARINE TERRACE CHIJ KATONG CONVENT SINGAPORE 449150
Chij Our Lady Of Good Counsel,558979,1.35795142682271,103.86425016247,2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979
Chij Our Lady Of The Nativity,534793,1.37317401669512,103.89765938461599,1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793
Chij Our Lady Queen Of Peace,679287,1.36675801448843,103.767694820161,4 CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679287
Chij Saint Joseph'S Convent,548595,1.3917809913189099,103.902577350084,62 SENGKANG EAST WAY CHIJ SAINT JOSEPH'S CONVENT SINGAPORE 548595
